start_date,end_date,salary,duration,student_id,high_perc,high_spec,mba_spec,second_perc,gender,degree_perc,placed,experience_years,employability_perc,mba_perc,work_experience,degree_type
2020-05-21,,,5.0,201,46.08,Science,Mkt&Fin,56.89,M,58.04,False,1,78.28,59.23,False,Sci&Tech
2020-04-29,2020-08-23,25519.0,7.0,202,70.62,Commerce,Mkt&HR,57.43,M,64.85,False,1,75.18,58.11,False,Comm&Mgmt
2020-02-15,2020-04-22,,5.0,203,56.35,Science,Mkt&Fin,57.49,M,61.92,False,1,90.6,61.32,False,Comm&Mgmt
2020-01-03,2020-05-24,,,204,64.9,Commerce,Mkt&HR,80.94,F,75.96,True,1,71.92,67.02,False,Comm&Mgmt
,,,9.0,205,92.5,Commerce,Mkt&Fin,75.39,M,77.65,True,1,88.46,67.63,True,Comm&Mgmt
2020-01-02,2020-12-01,,9.0,206,62.52,Commerce,Mkt&Fin,68.38,F,67.21,False,1,51.72,55.1,False,Sci&Tech
2020-01-21,2020-12-03,35956.0,,207,66.63,Commerce,Mkt&Fin,56.31,M,58.92,True,1,88.99,54.17,True,Comm&Mgmt
2020-01-01,,24831.0,12.0,208,55.41,Science,Mkt&Fin,51.37,F,56.92,True,1,62.66,65.33,True,Comm&Mgmt
2020-07-27,2021-01-19,,5.0,209,50.63,Arts,Mkt&HR,54.23,M,55.45,False,1,61.9,55.64,True,Sci&Tech
2020-01-08,,30769.0,12.0,210,60.46,Science,Mkt&Fin,63.84,M,73.18,True,1,87.12,65.22,False,Comm&Mgmt
,2020-05-10,29031.0,6.0,211,74.2,Commerce,Mkt&Fin,86.33,M,69.92,True,1,72.98,55.69,False,Comm&Mgmt
2020-01-07,2020-07-13,,6.0,212,81.76,Science,Mkt&HR,72.36,M,79.37,True,1,96.48,57.59,False,Comm&Mgmt
2020-01-08,,,7.0,213,74.01,Commerce,Mkt&Fin,74.74,M,71.12,True,1,58.94,55.65,False,Comm&Mgmt
2020-01-02,2020-10-14,24890.0,12.0,214,72.99,Commerce,Mkt&Fin,63.71,F,74.33,True,1,87.08,74.47,False,Comm&Mgmt
